Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
659;21100447114;"Iranian Journal of Language Teaching Research";journal;"23221291";0,341;Q3;8;24;52;1094;58;48;0,85;45,58;Iran;Middle East;"Urmia University";"2013-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q3)"
660;5600155030;"New Directions for Evaluation";journal;"10976736";0,341;Q3;37;37;131;902;50;118;0,44;24,38;United States;Northern America;"Wiley-Blackwell";"1995-2020";"Education (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
661;21100469612;"Child Development Research";journal;"20903995, 20903987";0,340;Q3;3;3;26;134;17;26;0,64;44,67;United States;Northern America;"Hindawi Publishing Corporation";"2015-2019";"Linguistics and Language (Q1); Developmental and Educational Psychology (Q3); Education (Q3); Behavioral Neuroscience (Q4)"
662;22108;"International Journal of Disability, Development and Education";journal;"1465346X, 1034912X";0,340;Q3;38;102;126;4532;131;120;0,96;44,43;United Kingdom;Western Europe;"Routledge";"1989-2020";"Developmental and Educational Psychology (Q3); Education (Q3); Health Professions (miscellaneous) (Q3); Health (social science) (Q3)"
663;21100870584;"International Journal of School and Educational Psychology";journal;"21683603, 21683611";0,340;Q3;11;69;102;4047;121;76;1,51;58,65;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Developmental and Educational Psychology (Q3); Education (Q3)"
664;19700174629;"Cultura y Educacion";journal;"15784118, 11356405";0,339;Q3;16;24;88;907;80;87;0,78;37,79;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2019";"Cultural Studies (Q1); Education (Q3)"
665;4500151513;"Narrative Inquiry";journal;"13876740";0,339;Q3;41;18;56;976;44;56;1,05;54,22;Netherlands;Western Europe;"John Benjamins Publishing Company";"1998-2020";"History (Q1); Literature and Literary Theory (Q1); Social Sciences (miscellaneous) (Q2); Education (Q3)"
666;12597;"American Biology Teacher";journal;"00027685";0,338;Q3;30;95;317;1781;124;271;0,41;18,75;United States;Northern America;"National Association of Biology Teachers, Inc";"1970-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Education (Q3)"
667;21100899439;"European Journal of Behavior Analysis";journal;"2377729X";0,335;Q3;16;20;58;951;35;52;0,83;47,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2020";"Education (Q3); Psychology (miscellaneous) (Q3)"
668;21100211745;"Journal of Information Systems Education";journal;"10553096";0,335;Q3;13;31;49;954;75;49;1,29;30,77;United States;Northern America;"Data Processing Management Association's Special Interest Group for Education";"2012-2019";"Engineering (miscellaneous) (Q2); Education (Q3); E-learning (Q3)"
669;5800208402;"Citizenship, Social and Economics Education";journal;"20471734";0,333;Q3;8;15;46;766;47;41;1,08;51,07;United Kingdom;Western Europe;"SAGE Publications Inc.";"2012-2020";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Education (Q3)"
670;5800179629;"Journal of Criminal Justice Education";journal;"10511253, 17459117";0,332;Q3;26;36;94;1765;86;91;0,97;49,03;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-1995, 2005-2020";"Law (Q2); Education (Q3)"
671;28673;"Educational Gerontology";journal;"03601277, 15210472";0,326;Q3;49;66;212;2555;198;193;0,83;38,71;United Kingdom;Western Europe;"Routledge";"1976-2020";"Education (Q3); Geriatrics and Gerontology (Q3)"
672;19900192553;"Ethics and Education";journal;"17449642, 17449650";0,326;Q3;13;37;88;1294;61;81;0,90;34,97;United Kingdom;Western Europe;"Routledge";"2010-2020";"Philosophy (Q1); Education (Q3)"
673;21100197967;"International Journal of Emerging Technologies in Learning";journal;"18688799, 18630383";0,326;Q3;19;343;550;9417;794;549;1,58;27,45;Germany;Western Europe;"Kassel University Press";"2008-2020";"Engineering (miscellaneous) (Q2); Education (Q3); E-learning (Q3)"
674;19300157109;"Irish Educational Studies";journal;"17474965, 03323315";0,326;Q3;19;42;82;2344;72;78;0,73;55,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1986, 1988-1996, 1998-2020";"Education (Q3)"
675;21100791289;"Sport Management Education Journal";journal;"21632367, 19386974";0,326;Q3;4;6;35;192;28;35;0,78;32,00;United States;Northern America;"Human Kinetics Publishers Inc.";"2016-2019";"Education (Q3); Strategy and Management (Q3); Tourism, Leisure and Hospitality Management (Q3)"
676;21100790339;"Integration of Education";journal;"19919468, 23081058";0,325;Q3;7;37;153;1127;115;141;0,93;30,46;Russian Federation;Eastern Europe;"National Research Ogarev Mordovia State University";"2016-2020";"Education (Q3)"
677;4500151523;"Educacao e Sociedade";journal;"01017330";0,324;Q3;21;50;201;1606;50;174;0,26;32,12;Brazil;Latin America;"Centro de Estudos Educacao e Sociedade - CEDES";"2006-2020";"Education (Q3)"
678;21100201516;"International Journal of Mobile and Blended Learning";journal;"19418655, 19418647";0,324;Q3;16;18;61;728;63;61;0,80;40,44;United States;Northern America;"IGI Global Publishing";"2009-2020";"Computer Science (miscellaneous) (Q2); Education (Q3); E-learning (Q3)"
679;18675;"Teaching Sociology";journal;"0092055X";0,324;Q3;36;26;86;1014;111;75;1,14;39,00;United States;Northern America;"SAGE Publications Inc.";"1986, 1990, 1996-2020";"Sociology and Political Science (Q2); Education (Q3)"
680;21100791244;"Proceedings - 9th IEEE/ACM International Conference on Utility and Cloud Computing, UCC 2016";conference and proceedings;"-";0,323;-;8;0;68;0;104;65;0,00;0,00;United States;Northern America;"";"";"Education; Ocean Engineering; Safety, Risk, Reliability and Quality; Transportation"
681;21100843893;"Cogent Education";journal;"2331186X";0,322;Q3;11;121;445;5932;421;428;0,88;49,02;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Education (Q3)"
682;21100208067;"Empirical Research in Vocational Education and Training";journal;"18776337, 18776345";0,322;Q3;11;11;49;640;66;48;1,35;58,18;United States;Northern America;"Springer Science + Business Media";"2009-2020";"Education (Q3)"
683;21100396634;"Journal of Educational, Cultural and Psychological Studies";journal;"20377924, 20377932";0,322;Q3;5;26;86;758;50;71;0,80;29,15;Italy;Western Europe;"LED, Edizioni Universitarie";"2014-2019";"Developmental and Educational Psychology (Q3); Education (Q3); Social Psychology (Q3)"
684;16719;"Proceedings - Frontiers in Education Conference, FIE";conference and proceedings;"01905848, 15394565";0,322;-;37;532;705;11966;652;698;0,94;22,49;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976, 1978-1989, 1991-2013, 2015-2017, 2019";"Computer Science Applications; Education; Software"
685;23858;"Turkish Online Journal of Distance Education";journal;"13026488";0,322;Q3;20;33;157;1429;163;151;1,09;43,30;Turkey;Middle East;"Anadolu Universitesi";"2004-2020";"Education (Q3)"
686;21100896926;"Creativity";journal;"23540036";0,321;Q3;3;9;20;421;13;20;0,65;46,78;Poland;Eastern Europe;"Sciendo";"2018-2019";"Visual Arts and Performing Arts (Q1); Arts and Humanities (miscellaneous) (Q2); Education (Q3); Social Psychology (Q3); Statistics, Probability and Uncertainty (Q3)"
687;145569;"L1-Educational Studies in Language and Literature";journal;"15676617";0,321;Q3;12;14;67;798;37;65;0,42;57,00;Netherlands;Western Europe;"Kluwer Academic Publishers";"2001-2019";"Language and Linguistics (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Education (Q3); Health Professions (miscellaneous) (Q3); Psychology (miscellaneous) (Q3)"
688;21100894112;"Journal of Digital Learning in Teacher Education";journal;"21532974, 23327383";0,320;Q3;17;22;69;645;70;45;1,87;29,32;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Computer Science Applications (Q3); Education (Q3)"
689;21100215938;"Profesorado";journal;"1138414X, 19896395";0,318;Q3;12;75;257;3211;129;257;0,44;42,81;Spain;Western Europe;"Universidad de Granada";"2012-2019";"Education (Q3)"
690;21100887523;"Marketing Education Review";journal;"10528008, 21539987";0,317;Q3;4;33;28;1275;35;26;1,35;38,64;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2020";"Education (Q3)"
691;21100468901;"Retos";journal;"19882041, 15791726";0,317;Q3;9;171;285;7612;379;285;1,52;44,51;Spain;Western Europe;"Federacion Espanola de Docentes de Educacion Fisica";"2016-2020";"Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
692;110201;"Education for Health: Change in Learning and Practice";journal;"14695804, 13576283";0,315;Q3;30;24;149;448;109;104;0,98;18,67;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"1997-2019";"Education (Q3); Medicine (miscellaneous) (Q3)"
693;21100403171;"Journal of Interprofessional Education and Practice";journal;"24054526";0,315;Q3;7;71;170;1633;151;164;0,83;23,00;United States;Northern America;"Elsevier Inc.";"2015-2020";"Education (Q3)"
694;21100456854;"Journal of University Teaching and Learning Practice";journal;"14499789";0,315;Q3;6;46;97;1972;94;87;0,80;42,87;Australia;Pacific Region;"University of Wollongong";"2016-2019";"Education (Q3)"
695;4700152626;"Frontiers of Education in China";journal;"16733533, 1673341X";0,314;Q3;14;23;65;1417;36;63;0,70;61,61;Switzerland;Western Europe;"Springer International Publishing AG";"2006-2020";"Education (Q3)"
696;21100897051;"Journal of Public Affairs Education";journal;"23289643, 15236803";0,312;Q3;21;42;106;1583;95;88;1,20;37,69;United States;Northern America;"Taylor and Francis Ltd.";"1998-2020";"Education (Q3); Public Administration (Q3)"
697;21100390411;"Journal of Hospitality and Tourism Education";journal;"23256540, 10963758";0,311;Q3;22;42;61;2249;72;60;0,81;53,55;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2013, 2015-2020";"Education (Q3); Tourism, Leisure and Hospitality Management (Q3)"
698;21100456864;"Professions and Professionalism";journal;"18931049";0,311;Q3;5;17;52;950;38;47;0,65;55,88;Norway;Western Europe;"Oslo and Akershus University College of Applied Sciences";"2016-2019";"Education (Q3); Life-span and Life-course Studies (Q4)"
699;21100206205;"IEEE Global Engineering Education Conference, EDUCON";conference and proceedings;"21659559";0,309;-;19;242;782;4930;736;776;0,99;20,37;United States;Northern America;"";"21659559";"Education; Engineering (miscellaneous); Information Systems and Management"
700;21100899523;"International Journal of Aerospace Psychology";journal;"24721832, 24721840";0,309;Q3;42;11;28;498;38;26;1,61;45,27;United States;Northern America;"Taylor and Francis Ltd.";"2017-2020";"Aerospace Engineering (Q3); Applied Psychology (Q3); Computer Science Applications (Q3); Education (Q3)"
701;19400157145;"Porta Linguarum";journal;"16977467";0,309;Q3;10;20;102;840;43;95;0,32;42,00;Spain;Western Europe;"Grupo Editorial Universitario";"2008-2019";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q3)"
702;17600155211;"Curriculum Perspectives";journal;"01597868";0,307;Q3;9;29;71;1004;46;59;0,90;34,62;Switzerland;Western Europe;"Springer International Publishing AG";"1980-1994, 1996-2003, 2006-2020";"Education (Q3)"
703;19700188302;"Journal of Continuing Higher Education";journal;"19484801, 07377363";0,307;Q3;14;16;78;501;42;72;0,48;31,31;United States;Northern America;"Routledge";"1978-2020";"Education (Q3)"
704;6000153121;"Journal of Media Practice";journal;"14682753";0,307;Q3;15;0;37;0;39;33;1,47;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2004, 2006-2017";"Communication (Q2); Education (Q3)"
705;21100386854;"Journal of Museum Education";journal;"10598650, 20516169";0,307;Q3;6;46;135;752;91;115;0,54;16,35;United Kingdom;Western Europe;"Maney Publishing";"2014-2020";"Museology (Q1); Education (Q3)"
706;21100896943;"Open Review of Educational Research";journal;"23265507";0,307;Q3;8;2;44;76;70;41;1,18;38,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2019";"History (Q1); Philosophy (Q1); Education (Q3)"
707;21100887617;"Education Inquiry";journal;"20004508";0,306;Q3;16;30;71;1468;76;64;1,33;48,93;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Sociology and Political Science (Q2); Education (Q3); Public Administration (Q3)"
708;19700173246;"Academia Revista Latinoamericana de Administracion";journal;"10128255, 20565127";0,305;Q3;11;38;99;2639;132;93;1,09;69,45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Education (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3)"
709;4700152249;"Educacao e Pesquisa";journal;"15179702";0,305;Q3;14;60;261;2117;85;250;0,31;35,28;Brazil;Latin America;"Faculdade de Educacao da Universidade de Sao Paulo";"1999-2002, 2006-2019";"Education (Q3)"
710;19700183130;"Journal of Asia TEFL";journal;"24661511, 17383102";0,305;Q3;9;110;185;3934;126;171;0,77;35,76;South Korea;Asiatic Region;"";"2004, 2007, 2010-2019";"Linguistics and Language (Q1); Education (Q3)"
711;14792;"New Zealand Journal of Educational Studies";journal;"21994714, 00288276";0,305;Q3;16;26;62;980;57;52;0,94;37,69;New Zealand;Pacific Region;"Springer Singapore";"1996-2013, 2015-2020";"Education (Q3)"
712;21100887529;"RMLE Online";journal;"19404476";0,305;Q3;16;10;30;609;28;30;0,80;60,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2020";"Education (Q3)"
713;15035;"Social Work with Groups";journal;"01609513, 15409481";0,305;Q3;22;43;104;1271;75;90;0,62;29,56;United States;Northern America;"Routledge";"1978-2020";"Social Sciences (miscellaneous) (Q2); Education (Q3); Social Work (Q3)"
714;21100446217;"Journal of International Education in Business";journal;"2046469X, 18363261";0,304;Q3;9;20;38;1168;44;38;1,24;58,40;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business, Management and Accounting (miscellaneous) (Q2); Education (Q3)"
715;24236;"Prospects";journal;"00331538";0,304;Q3;23;13;59;539;45;53;0,60;41,46;Netherlands;Western Europe;"Springer Netherlands";"1970, 1972-2020";"Education (Q3)"
716;21100837257;"College Teaching";journal;"87567555, 19308299";0,303;Q3;38;30;102;861;66;85;0,59;28,70;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Education (Q3)"
717;21100828959;"European Education";journal;"19447086, 10564934";0,303;Q3;15;17;47;816;41;44;0,93;48,00;United Kingdom;Western Europe;"Routledge";"1996-2013, 2017-2020";"Education (Q3)"
718;5700165306;"Qualitative Report";journal;"10520147";0,303;Q3;29;192;524;8692;478;523;0,76;45,27;United States;Northern America;"Nova Southeastern University";"2009-2020";"Cultural Studies (Q1); Education (Q3); Social Psychology (Q3)"
719;21100199534;"Teoria de la Educacion";journal;"11303743, 11389737";0,303;Q3;9;16;68;858;63;68;0,91;53,63;Spain;Western Europe;"Universidad de Salamanca, Facultad de EducaciOn";"2008-2020";"Education (Q3)"
720;5800208514;"Communication Teacher";journal;"17404622, 17404630";0,302;Q3;9;62;117;980;48;110;0,33;15,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Communication (Q2); Education (Q3)"
721;19700172601;"Asia-Pacific Forum on Science Learning and Teaching";journal;"16094913";0,300;Q3;12;7;71;311;71;71;0,52;44,43;Hong Kong;Asiatic Region;"Hong Kong Institute of Education";"2009-2019";"Education (Q3)"
722;21100384282;"Journal for Multicultural Education";journal;"20535368, 2053535X";0,300;Q3;6;26;84;1251;60;80;0,53;48,12;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2020";"Cultural Studies (Q1); Linguistics and Language (Q2); Education (Q3)"
723;21100896316;"International Journal of Education in Mathematics, Science and Technology";journal;"2147611X";0,299;Q3;3;18;28;984;30;28;1,07;54,67;Turkey;Middle East;"ISRES Publishing";"2018-2019";"Education (Q3); Mathematics (miscellaneous) (Q3)"
724;19700190314;"Pastoral Care in Education";journal;"14680122, 02643944";0,299;Q3;19;23;77;846;54;63;0,77;36,78;United States;Northern America;"Routledge";"1983-2020";"Developmental and Educational Psychology (Q3); Education (Q3)"
725;29335;"Education for Information";journal;"18758649, 01678329";0,298;Q3;18;33;69;867;63;64;0,77;26,27;Netherlands;Western Europe;"IOS Press";"1983-2019";"Library and Information Sciences (Q2); Education (Q3); Information Systems (Q3)"
726;21100291858;"Advances in Accounting Education: Teaching and Curriculum Innovations";book series;"10854622";0,297;Q3;7;20;26;539;18;25;0,50;26,95;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2017, 2019";"Business and International Management (Q2); Education (Q3)"
727;21100455555;"Proceedings - 2nd IEEE International Conference on Cyber Security and Cloud Computing, CSCloud 2015 - IEEE International Symposium of Smart Cloud, IEEE SSC 2015";conference and proceedings;"-";0,297;-;11;0;92;0;95;88;0,00;0,00;United States;Northern America;"";"";"Education; Engineering (miscellaneous)"
728;4700152835;"American Journal of Sexuality Education";journal;"15546136, 15546128";0,296;Q3;14;28;77;1433;65;74;0,74;51,18;United States;Northern America;"Routledge";"2005-2020";"Education (Q3)"
729;21100869510;"Journal for the Education of Gifted Young Scientists";journal;"2149360X";0,296;Q3;7;79;44;2969;90;44;2,17;37,58;Turkey;Middle East;"Journal for the Education of Gifted Young Scientists";"2015-2020";"Education (Q3)"
730;21100897004;"Medical Science Educator";journal;"21568650";0,296;Q3;11;238;406;5246;199;334;0,67;22,04;Switzerland;Western Europe;"Springer New York";"2011-2020";"Education (Q3); Medicine (miscellaneous) (Q3)"
731;5900152813;"International Journal of Art and Design Education";journal;"14768062, 14768070";0,293;Q3;22;79;114;2187;83;108;0,65;27,68;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Visual Arts and Performing Arts (Q1); Arts and Humanities (miscellaneous) (Q2); Education (Q3)"
732;19900191880;"Bolema - Mathematics Education Bulletin";journal;"0103636X, 19804415";0,292;Q3;7;48;190;1448;65;176;0,39;30,17;Brazil;Latin America;"BOLEMA Departamento de Matematica";"2010-2019";"Education (Q3); Mathematics (miscellaneous) (Q3)"
733;12387;"International Journal of Mechanical Engineering Education";journal;"03064190, 20504586";0,292;Q3;12;40;65;965;63;63;1,09;24,13;United Kingdom;Western Europe;"SAGE Publications Inc.";"1981, 1983-1991, 2000, 2002-2020";"Education (Q3); Mechanical Engineering (Q3)"
